Date,Sales
2022-06-19,30235
2022-06-20,30323
2022-06-21,30567
2022-06-22,31057
2022-06-23,31306
2022-06-24,31110
2022-06-25,31771
2022-06-26,31833
2022-06-27,31630
2022-06-28,31961
2022-06-29,32044
2022-06-30,32311
2022-07-01,32472
2022-07-02,32848
2022-07-03,33058
2022-07-04,32831
2022-07-05,33213
2022-07-06,33448
2022-07-07,33276
2022-07-08,33645
2022-07-09,33748
2022-07-10,33969
2022-07-11,34114
2022-07-12,34563
2022-07-13,34445
2022-07-14,34945
2022-07-15,35179
2022-07-16,35341
2022-07-17,35257
2022-07-18,35545
2022-07-19,35530
2022-07-20,35934
2022-07-21,36261
2022-07-22,36561
2022-07-23,36971
2022-07-24,37211
2022-07-25,37240
2022-07-26,37176
2022-07-27,37541
2022-07-28,37198
2022-07-29,37406
2022-07-30,37765
2022-07-31,37822
2022-08-01,38407
2022-08-02,38346
2022-08-03,38746
2022-08-04,38557
2022-08-05,39058
2022-08-06,38789
2022-08-07,38901
2022-08-08,39243
2022-08-09,39481
2022-08-10,39933
2022-08-11,39894
2022-08-12,39784
2022-08-13,40194
2022-08-14,40166
2022-08-15,40448
2022-08-16,40169
2022-08-17,40712
2022-08-18,40608
2022-08-19,40942
2022-08-20,41219
2022-08-21,41707
2022-08-22,41857
2022-08-23,42022
2022-08-24,42098
2022-08-25,42555
2022-08-26,42930
2022-08-27,42714
2022-08-28,42852
2022-08-29,43349
2022-08-30,43400
2022-08-31,43460
2022-09-01,43838
2022-09-02,44050
2022-09-03,43991
2022-09-04,44356
2022-09-05,44500
2022-09-06,44681
2022-09-07,45006
2022-09-08,45359
2022-09-09,45544
2022-09-10,45627
2022-09-11,45653
2022-09-12,46000
2022-09-13,45826
2022-09-14,46304
2022-09-15,46515
2022-09-16,46706
2022-09-17,46800
2022-09-18,46892
2022-09-19,47105
2022-09-20,47309
2022-09-21,47857
2022-09-22,47891
2022-09-23,48327
2022-09-24,48429
2022-09-25,48396
2022-09-26,48499
2022-09-27,48779
2022-09-28,49224
2022-09-29,49157
2022-09-30,49400
2022-10-01,49677
2022-10-02,49765
2022-10-03,49997
2022-10-04,50207
2022-10-05,50022
2022-10-06,50201
2022-10-07,50721
2022-10-08,50780
2022-10-09,50841
2022-10-10,51091
2022-10-11,51263
2022-10-12,51476
2022-10-13,51286
2022-10-14,51712
2022-10-15,51781
2022-10-16,51957
2022-10-17,52220
2022-10-18,52428
2022-10-19,52668
2022-10-20,52829
2022-10-21,53273
2022-10-22,53474
2022-10-23,53209
2022-10-24,53679
2022-10-25,53849
2022-10-26,53952
2022-10-27,54119
2022-10-28,54711
2022-10-29,54925
2022-10-30,54936
2022-10-31,55375
2022-11-01,55234
2022-11-02,55690
2022-11-03,56014
2022-11-04,56017
2022-11-05,56380
2022-11-06,56101
2022-11-07,56496
2022-11-08,56285
2022-11-09,56673
2022-11-10,56952
2022-11-11,57344
2022-11-12,57366
2022-11-13,57621
2022-11-14,57985
2022-11-15,57964
2022-11-16,58041
2022-11-17,58589
2022-11-18,58752
2022-11-19,59016
2022-11-20,59115
2022-11-21,59279
2022-11-22,59247
2022-11-23,59245
2022-11-24,59602
2022-11-25,59771
2022-11-26,59929
2022-11-27,60007
2022-11-28,60686
2022-11-29,60603
2022-11-30,60713
2022-12-01,60954
2022-12-02,61187
2022-12-03,61449
2022-12-04,61476
2022-12-05,61780
2022-12-06,61802
2022-12-07,61974
2022-12-08,62093
2022-12-09,62634
2022-12-10,62574
2022-12-11,62796
2022-12-12,62934
2022-12-13,63045
2022-12-14,63324
2022-12-15,63622
2022-12-16,63806
2022-12-17,64265
2022-12-18,63983
2022-12-19,64404
2022-12-20,64783
2022-12-21,64518
2022-12-22,64654
2022-12-23,64836
2022-12-24,65092
2022-12-25,65331
2022-12-26,65411
2022-12-27,65955
2022-12-28,65884
2022-12-29,66028
2022-12-30,66292
2022-12-31,66171
2023-01-01,66582
2023-01-02,66456
2023-01-03,67083
2023-01-04,66781
2023-01-05,66973
2023-01-06,67417
2023-01-07,67463
2023-01-08,68078
2023-01-09,68118
2023-01-10,68012
2023-01-11,68120
2023-01-12,68407
2023-01-13,68832
2023-01-14,69009
2023-01-15,69337
2023-01-16,68998
2023-01-17,69453
2023-01-18,69637
2023-01-19,69685
2023-01-20,69935
2023-01-21,70008
2023-01-22,70100
2023-01-23,70519
2023-01-24,70701
2023-01-25,70988
2023-01-26,71287
2023-01-27,71359
2023-01-28,71414
2023-01-29,71803
2023-01-30,72078
2023-01-31,72285
2023-02-01,72494
2023-02-02,72350
2023-02-03,72477
2023-02-04,72578
2023-02-05,72755
2023-02-06,72952
2023-02-07,73375
2023-02-08,73531
2023-02-09,73573
2023-02-10,73944
2023-02-11,74056
2023-02-12,74385
2023-02-13,74741
2023-02-14,74862
2023-02-15,74726
2023-02-16,74928
2023-02-17,75237
2023-02-18,75336
2023-02-19,75148
2023-02-20,75498
2023-02-21,75744
2023-02-22,75995
2023-02-23,76288
2023-02-24,76409
2023-02-25,76648
2023-02-26,76925
2023-02-27,76890
2023-02-28,76929
2023-03-01,77210
2023-03-02,77504
2023-03-03,77834
2023-03-04,78158
2023-03-05,78084
2023-03-06,78495
2023-03-07,78543
2023-03-08,78791
2023-03-09,78784
2023-03-10,79074
2023-03-11,79262
2023-03-12,79739
2023-03-13,79599
2023-03-14,79847
2023-03-15,80151
2023-03-16,80073
2023-03-17,80258
2023-03-18,80452
2023-03-19,80648
2023-03-20,80718
2023-03-21,80583
2023-03-22,80613
2023-03-23,81069
2023-03-24,80933
2023-03-25,81335
2023-03-26,81676
2023-03-27,81507
2023-03-28,81716
2023-03-29,82000
2023-03-30,81897
2023-03-31,82347
2023-04-01,82265
2023-04-02,82301
2023-04-03,82350
2023-04-04,82585
2023-04-05,83106
2023-04-06,83153
2023-04-07,83790
2023-04-08,83616
2023-04-09,83661
2023-04-10,83780
2023-04-11,84191
2023-04-12,84407
2023-04-13,84313
2023-04-14,84651
2023-04-15,84382
2023-04-16,84787
2023-04-17,84903
2023-04-18,84941
2023-04-19,85570
2023-04-20,85576
2023-04-21,85864
2023-04-22,85673
2023-04-23,86260
2023-04-24,86152
2023-04-25,86646
2023-04-26,87094
2023-04-27,87109
2023-04-28,87082
2023-04-29,87598
2023-04-30,87476
2023-05-01,87789
2023-05-02,87979
2023-05-03,87978
2023-05-04,88476
2023-05-05,88418
2023-05-06,88453
2023-05-07,88694
2023-05-08,89080
2023-05-09,89122
2023-05-10,89435
2023-05-11,89242
2023-05-12,89407
2023-05-13,89313
2023-05-14,89978
2023-05-15,89736
2023-05-16,90115
2023-05-17,90233
2023-05-18,90325
2023-05-19,90880
2023-05-20,91242
2023-05-21,91297
2023-05-22,91225
2023-05-23,91312
2023-05-24,91706
2023-05-25,91894
2023-05-26,91830
2023-05-27,92105
2023-05-28,92602
2023-05-29,92833
2023-05-30,92796
2023-05-31,93253
2023-06-01,93089
2023-06-02,93549
2023-06-03,93765
2023-06-04,93792
2023-06-05,93956
2023-06-06,93940
2023-06-07,94031
2023-06-08,94223
2023-06-09,94566
2023-06-10,94670
2023-06-11,95006
2023-06-12,95282
2023-06-13,95184
2023-06-14,95306
2023-06-15,95637
2023-06-16,95356
2023-06-17,95554
2023-06-18,96096
2023-06-19,96183
2023-06-20,96425
2023-06-21,96738
2023-06-22,96821
2023-06-23,97126
2023-06-24,97365
2023-06-25,97119
2023-06-26,97436
2023-06-27,97292
2023-06-28,97518
2023-06-29,97775
2023-06-30,98346
2023-07-01,98106
2023-07-02,98286
2023-07-03,98601
2023-07-04,98633
2023-07-05,98778
2023-07-06,99179
2023-07-07,99231
2023-07-08,99683
2023-07-09,99840
2023-07-10,99656
2023-07-11,100079
2023-07-12,100070
2023-07-13,99974
2023-07-14,100169
2023-07-15,100649
2023-07-16,100834
2023-07-17,100444
2023-07-18,101073
2023-07-19,101431
2023-07-20,101520
2023-07-21,101782
2023-07-22,101652
2023-07-23,101705
2023-07-24,101669
2023-07-25,102431
2023-07-26,102521
2023-07-27,102257
2023-07-28,102683
2023-07-29,102996
2023-07-30,102912
2023-07-31,102986
2023-08-01,103202
2023-08-02,103231
2023-08-03,103754
2023-08-04,103687
2023-08-05,103831
2023-08-06,103957
2023-08-07,104046
2023-08-08,104280
2023-08-09,104615
2023-08-10,104357
2023-08-11,104651
2023-08-12,104976
2023-08-13,104791
2023-08-14,105261
2023-08-15,105655
2023-08-16,105378
2023-08-17,105964
2023-08-18,106127
2023-08-19,106175
2023-08-20,106157
2023-08-21,106191
2023-08-22,106414
2023-08-23,106502
2023-08-24,106867
2023-08-25,107302
2023-08-26,107264
2023-08-27,107378
2023-08-28,107588
2023-08-29,107653
2023-08-30,107987
2023-08-31,108171
2023-09-01,108415
2023-09-02,108574
2023-09-03,108730
2023-09-04,108577
2023-09-05,109040
2023-09-06,109027
2023-09-07,108936
2023-09-08,109507
2023-09-09,109395
2023-09-10,109796
2023-09-11,109675
2023-09-12,110153
2023-09-13,110260
2023-09-14,110368
2023-09-15,110834
2023-09-16,110859
2023-09-17,110784
2023-09-18,111301
2023-09-19,111342
2023-09-20,111827
2023-09-21,112124
2023-09-22,112211
2023-09-23,111892
2023-09-24,112360
2023-09-25,112562
2023-09-26,112878
2023-09-27,112970
2023-09-28,113281
2023-09-29,113162
2023-09-30,113437
2023-10-01,113821
2023-10-02,113724
2023-10-03,114382
2023-10-04,114402
2023-10-05,114610
2023-10-06,114697
2023-10-07,114912
2023-10-08,115153
2023-10-09,115322
2023-10-10,115448
2023-10-11,115777
2023-10-12,115683
2023-10-13,116027
2023-10-14,116544
2023-10-15,116690
2023-10-16,116810
2023-10-17,117123
2023-10-18,117243
2023-10-19,117676
2023-10-20,117609
2023-10-21,117710
2023-10-22,117935
2023-10-23,118218
2023-10-24,118203
2023-10-25,118600
2023-10-26,118735
2023-10-27,118904
2023-10-28,119213
2023-10-29,119381
2023-10-30,119463
2023-10-31,119389
2023-11-01,119591
2023-11-02,119907
2023-11-03,120084
2023-11-04,120478
2023-11-05,120593
2023-11-06,120807
2023-11-07,121159
2023-11-08,121190
2023-11-09,120983
2023-11-10,121536
2023-11-11,121447
2023-11-12,121726
2023-11-13,121947
2023-11-14,121974
2023-11-15,121879
2023-11-16,122098
2023-11-17,122315
2023-11-18,122724
2023-11-19,122877
2023-11-20,122966
2023-11-21,123461
2023-11-22,123781
2023-11-23,123978
2023-11-24,123870
2023-11-25,124231
2023-11-26,124144
2023-11-27,124454
2023-11-28,124737
2023-11-29,124697
2023-11-30,124936
2023-12-01,125213
2023-12-02,125710
2023-12-03,125721
2023-12-04,125792
2023-12-05,126203
2023-12-06,126378
2023-12-07,126088
2023-12-08,126442
2023-12-09,126391
2023-12-10,126938
2023-12-11,127020
2023-12-12,126853
2023-12-13,127115
2023-12-14,127031
2023-12-15,127556
2023-12-16,127500
2023-12-17,127444
2023-12-18,127892
2023-12-19,127624
2023-12-20,128024
2023-12-21,128373
2023-12-22,128671
2023-12-23,128752
2023-12-24,128988
2023-12-25,128965
2023-12-26,128861
2023-12-27,129457
2023-12-28,129237
2023-12-29,129473
2023-12-30,129848
2023-12-31,130193
2024-01-01,130405
2024-01-02,130342
2024-01-03,130772
2024-01-04,130669
2024-01-05,131115
2024-01-06,130984
2024-01-07,131437
2024-01-08,131646
2024-01-09,131908
2024-01-10,131901
2024-01-11,131984
2024-01-12,132509
2024-01-13,132827
2024-01-14,132480
2024-01-15,133057
2024-01-16,133130
2024-01-17,133602
2024-01-18,133575
2024-01-19,133994
2024-01-20,134203
2024-01-21,134064
2024-01-22,134373
2024-01-23,134525
2024-01-24,134934
2024-01-25,135146
2024-01-26,135325
2024-01-27,135615
2024-01-28,135671
2024-01-29,136022
2024-01-30,136304
2024-01-31,136238
2024-02-01,136422
2024-02-02,136975
2024-02-03,136934
2024-02-04,137327
2024-02-05,137502
2024-02-06,137440
2024-02-07,137724
2024-02-08,137759
2024-02-09,137785
2024-02-10,137982
2024-02-11,138319
2024-02-12,138305
2024-02-13,138308
2024-02-14,138635
2024-02-15,138503
2024-02-16,138614
2024-02-17,138992
2024-02-18,139018
2024-02-19,139384
2024-02-20,139613
2024-02-21,139485
2024-02-22,140021
2024-02-23,139925
2024-02-24,140140
2024-02-25,140475
2024-02-26,140499
2024-02-27,140701
2024-02-28,141250
2024-02-29,141212
2024-03-01,141156
2024-03-02,141340
2024-03-03,141690
2024-03-04,141577
2024-03-05,142101
2024-03-06,142308
2024-03-07,142735
2024-03-08,142368
2024-03-09,142492
2024-03-10,143194
2024-03-11,143322
2024-03-12,143281
2024-03-13,143650
2024-03-14,143842
2024-03-15,143711
2024-03-16,143781
2024-03-17,144231
2024-03-18,144127
2024-03-19,144573
2024-03-20,144737
2024-03-21,144962
2024-03-22,144935
2024-03-23,145535
2024-03-24,145263
2024-03-25,145652
2024-03-26,145895
2024-03-27,145827
2024-03-28,145846
2024-03-29,145970
2024-03-30,146314
2024-03-31,146488
2024-04-01,146799
2024-04-02,146855
2024-04-03,147369
2024-04-04,147414
2024-04-05,147757
2024-04-06,147855
2024-04-07,148385
2024-04-08,148565
2024-04-09,148710
2024-04-10,148703
2024-04-11,149324
2024-04-12,149279
2024-04-13,149478
2024-04-14,149548
2024-04-15,149824
2024-04-16,149728
2024-04-17,150081
2024-04-18,150351
2024-04-19,150665
2024-04-20,150725
2024-04-21,151008
2024-04-22,150873
2024-04-23,151367
2024-04-24,151440
2024-04-25,151482
2024-04-26,151998
2024-04-27,151970
2024-04-28,152131
2024-04-29,152393
2024-04-30,152419
2024-05-01,152765
2024-05-02,152738
2024-05-03,152952
2024-05-04,153032
2024-05-05,153294
2024-05-06,153277
2024-05-07,153386
2024-05-08,153915
2024-05-09,154203
2024-05-10,154390
2024-05-11,154490
2024-05-12,154575
2024-05-13,154498
2024-05-14,155131
2024-05-15,154862
2024-05-16,155071
2024-05-17,155375
2024-05-18,155407
2024-05-19,155567
2024-05-20,155707
2024-05-21,156048
2024-05-22,156183
2024-05-23,156283
2024-05-24,156621
2024-05-25,156736
2024-05-26,157013
2024-05-27,157046
2024-05-28,157300
2024-05-29,157091
2024-05-30,157335
2024-05-31,157891
2024-06-01,157820
2024-06-02,158190
2024-06-03,158598
2024-06-04,158417
2024-06-05,158951
2024-06-06,159239
2024-06-07,159512
2024-06-08,159221
2024-06-09,159810
2024-06-10,159519
2024-06-11,160191
2024-06-12,160189
2024-06-13,160165
2024-06-14,160478
2024-06-15,160338
2024-06-16,161038
2024-06-17,160970
2024-06-18,161508
2024-06-19,161762
2024-06-20,161514
2024-06-21,161851
2024-06-22,162165
2024-06-23,162290
2024-06-24,162328
2024-06-25,162429
2024-06-26,162833
2024-06-27,162842
2024-06-28,162906
2024-06-29,163160
2024-06-30,163669
2024-07-01,163401
2024-07-02,163435
2024-07-03,164070
2024-07-04,163767
2024-07-05,164102
2024-07-06,164506
2024-07-07,164803
2024-07-08,164935
2024-07-09,165352
2024-07-10,165280
2024-07-11,165861
2024-07-12,165474
2024-07-13,165990
2024-07-14,166346
2024-07-15,166335
2024-07-16,166703
2024-07-17,166442
2024-07-18,166683
2024-07-19,166760
2024-07-20,167262
2024-07-21,167324
2024-07-22,167424
2024-07-23,167397
2024-07-24,167365
2024-07-25,167739
2024-07-26,167974
2024-07-27,167831
2024-07-28,168212
2024-07-29,168747
2024-07-30,168526
2024-07-31,168806
2024-08-01,169256
2024-08-02,169105
2024-08-03,169353
2024-08-04,169236
2024-08-05,169751
2024-08-06,169949
2024-08-07,170375
2024-08-08,170257
2024-08-09,170133
2024-08-10,170349
2024-08-11,170478
2024-08-12,171061
2024-08-13,171243
2024-08-14,171100
2024-08-15,171283
2024-08-16,171608
2024-08-17,171534
2024-08-18,171682
2024-08-19,171899
2024-08-20,172196
2024-08-21,172162
2024-08-22,172889
2024-08-23,172829
2024-08-24,173221
2024-08-25,173478
2024-08-26,173817
2024-08-27,173991
2024-08-28,173994
2024-08-29,174047
2024-08-30,174633
2024-08-31,174956
2024-09-01,175219
2024-09-02,175505
2024-09-03,175436
2024-09-04,175611
2024-09-05,175939
2024-09-06,176103
2024-09-07,176171
2024-09-08,176603
2024-09-09,176552
2024-09-10,176825
2024-09-11,176925
2024-09-12,177125
2024-09-13,177215
2024-09-14,177239
2024-09-15,177455
2024-09-16,177826
2024-09-17,177917
2024-09-18,178083
2024-09-19,178136
2024-09-20,178093
2024-09-21,178530
2024-09-22,178785
2024-09-23,178595
2024-09-24,179085
2024-09-25,178868
2024-09-26,179204
2024-09-27,179481
2024-09-28,179632
2024-09-29,180063
2024-09-30,180120
2024-10-01,180458
2024-10-02,180375
2024-10-03,180505
2024-10-04,180799
2024-10-05,181063
2024-10-06,180771
2024-10-07,180918
2024-10-08,181010
2024-10-09,181243
2024-10-10,181743
2024-10-11,181806
2024-10-12,182032
2024-10-13,181993
2024-10-14,182494
2024-10-15,182659
2024-10-16,182823
2024-10-17,182874
2024-10-18,182894
2024-10-19,183072
2024-10-20,183283
2024-10-21,183889
2024-10-22,183708
2024-10-23,184191
2024-10-24,184011
2024-10-25,184177
2024-10-26,184710
2024-10-27,184399
2024-10-28,184907
2024-10-29,184785
2024-10-30,185005
2024-10-31,185312
2024-11-01,185576
2024-11-02,185749
2024-11-03,186165
2024-11-04,186291
2024-11-05,186244
2024-11-06,186605
2024-11-07,186413
2024-11-08,186686
2024-11-09,186850
2024-11-10,187016
2024-11-11,187498
2024-11-12,187504
2024-11-13,187746
2024-11-14,187648
2024-11-15,187849
2024-11-16,188168
2024-11-17,188501
2024-11-18,188281
2024-11-19,188513
2024-11-20,188629
2024-11-21,188943
2024-11-22,188762
2024-11-23,189049
2024-11-24,189296
2024-11-25,189883
2024-11-26,189759
2024-11-27,190265
2024-11-28,189941
2024-11-29,190382
2024-11-30,190534
2024-12-01,190472
2024-12-02,190769
2024-12-03,190971
2024-12-04,191114
2024-12-05,191430
2024-12-06,191373
2024-12-07,191911
2024-12-08,191636
2024-12-09,192083
2024-12-10,192055
2024-12-11,192437
2024-12-12,192501
2024-12-13,192950
2024-12-14,192853
2024-12-15,193316
2024-12-16,193341
2024-12-17,193516
2024-12-18,193704
2024-12-19,193782
2024-12-20,194104
2024-12-21,194289
2024-12-22,194296
2024-12-23,194805
2024-12-24,194685
2024-12-25,194924
2024-12-26,195203
2024-12-27,194958
2024-12-28,195489
2024-12-29,195242
2024-12-30,195506
2024-12-31,195914
2025-01-01,196156
2025-01-02,196355
2025-01-03,196164
2025-01-04,196850
2025-01-05,197038
2025-01-06,196932
2025-01-07,197321
2025-01-08,197619
2025-01-09,197589
2025-01-10,198059
2025-01-11,197866
2025-01-12,198411
2025-01-13,198548
2025-01-14,198276
2025-01-15,198429
2025-01-16,198535
2025-01-17,199107
2025-01-18,198968
2025-01-19,199438
2025-01-20,199503
2025-01-21,199448
2025-01-22,199606
2025-01-23,199779
2025-01-24,200080
2025-01-25,200281
2025-01-26,200153
2025-01-27,200474
2025-01-28,200546
2025-01-29,200698
2025-01-30,201063
2025-01-31,201221
2025-02-01,201418
2025-02-02,201726
2025-02-03,201971
2025-02-04,201917
2025-02-05,202449
2025-02-06,202695
2025-02-07,202704
2025-02-08,202875
2025-02-09,202891
2025-02-10,203350
2025-02-11,203562
2025-02-12,203778
2025-02-13,203669
2025-02-14,203798
2025-02-15,204260
2025-02-16,204203
2025-02-17,204425
2025-02-18,204450
2025-02-19,204934
2025-02-20,204826
2025-02-21,205316
2025-02-22,205569
2025-02-23,205533
2025-02-24,205821
2025-02-25,206068
2025-02-26,206236
2025-02-27,206319
2025-02-28,206535
2025-03-01,206498
2025-03-02,206640
2025-03-03,206993
2025-03-04,207050
2025-03-05,206888
2025-03-06,207409
2025-03-07,207517
2025-03-08,207338
2025-03-09,207625
2025-03-10,207967
2025-03-11,208104
2025-03-12,207792
2025-03-13,208398
2025-03-14,208388
2025-03-15,208347
2025-03-16,208613
2025-03-17,208966
2025-03-18,208710
2025-03-19,208945
2025-03-20,209387
2025-03-21,209484
2025-03-22,209445
2025-03-23,209886
2025-03-24,209882
2025-03-25,209795
2025-03-26,210362
2025-03-27,210541
2025-03-28,210713
2025-03-29,210818
2025-03-30,211139
2025-03-31,211375
2025-04-01,211335
2025-04-02,211619
2025-04-03,211546
2025-04-04,211703
2025-04-05,211692
2025-04-06,211965
2025-04-07,211903
2025-04-08,212094
2025-04-09,211925
2025-04-10,212004
2025-04-11,212147
2025-04-12,212673
2025-04-13,212728
2025-04-14,213114
2025-04-15,213137
2025-04-16,213039
2025-04-17,213236
2025-04-18,213639
2025-04-19,213940
2025-04-20,213816
2025-04-21,214104
2025-04-22,214498
2025-04-23,214211
2025-04-24,214796
2025-04-25,214643
2025-04-26,215174
2025-04-27,215295
2025-04-28,215390
2025-04-29,215723
2025-04-30,215899
2025-05-01,215611
2025-05-02,215944
2025-05-03,215994
2025-05-04,216219
2025-05-05,216149
2025-05-06,216339
2025-05-07,216712
2025-05-08,217242
2025-05-09,217139
2025-05-10,217252
2025-05-11,217652
2025-05-12,217834
2025-05-13,217929
2025-05-14,218327
2025-05-15,218357
2025-05-16,218281
2025-05-17,218585
2025-05-18,218850
2025-05-19,219194
2025-05-20,219303
2025-05-21,219742
2025-05-22,219805
2025-05-23,220075
2025-05-24,220121
2025-05-25,220125
2025-05-26,220397
2025-05-27,220770
2025-05-28,220841
2025-05-29,220918
2025-05-30,221100
2025-05-31,220909
2025-06-01,221156
2025-06-02,221340
2025-06-03,221566
2025-06-04,221493
2025-06-05,222058
2025-06-06,221809
2025-06-07,222264
2025-06-08,222488
2025-06-09,222701
2025-06-10,222872
2025-06-11,223045
2025-06-12,223081
2025-06-13,223487
2025-06-14,223558
2025-06-15,223625
2025-06-16,223971
2025-06-17,223729
2025-06-18,224203
2025-06-19,224239
2025-06-20,224681
2025-06-21,224866
2025-06-22,224900
2025-06-23,224887
2025-06-24,224928
2025-06-25,225471
2025-06-26,225300
2025-06-27,225723
2025-06-28,225717
2025-06-29,225914
2025-06-30,226287
2025-07-01,226587
2025-07-02,226368
2025-07-03,226539
2025-07-04,227085
2025-07-05,227099
2025-07-06,227392
2025-07-07,227462
2025-07-08,227844
2025-07-09,227632
2025-07-10,228022
2025-07-11,228335
2025-07-12,228590
2025-07-13,228717
2025-07-14,228734
2025-07-15,228673
2025-07-16,229124
2025-07-17,229199
2025-07-18,229037
2025-07-19,229442
2025-07-20,229589
2025-07-21,229506
2025-07-22,229728
2025-07-23,229830
2025-07-24,230289
2025-07-25,230756
2025-07-26,230808
2025-07-27,230702
2025-07-28,231057
2025-07-29,231171
2025-07-30,231592
2025-07-31,231475
2025-08-01,231774
2025-08-02,231635
2025-08-03,232228
2025-08-04,232275
2025-08-05,232449
2025-08-06,232634
2025-08-07,232661
2025-08-08,232824
2025-08-09,233055
2025-08-10,233049
2025-08-11,233567
2025-08-12,233445
2025-08-13,233831
2025-08-14,234089
2025-08-15,234217
2025-08-16,234182
2025-08-17,234600
2025-08-18,234804
2025-08-19,235243
2025-08-20,235427
2025-08-21,235363
2025-08-22,235667
2025-08-23,235916
2025-08-24,236004
2025-08-25,236143
2025-08-26,236136
2025-08-27,236488
2025-08-28,236433
2025-08-29,236775
2025-08-30,236899
2025-08-31,236995
2025-09-01,237354
2025-09-02,237428
2025-09-03,237643
2025-09-04,237800
2025-09-05,237622
2025-09-06,238208
2025-09-07,238101
2025-09-08,238028
2025-09-09,238354
2025-09-10,238360
2025-09-11,238642
2025-09-12,238734
2025-09-13,238556
2025-09-14,239234
2025-09-15,238974
2025-09-16,239189
2025-09-17,239588
2025-09-18,239543
2025-09-19,239871
2025-09-20,239862
2025-09-21,240188
2025-09-22,240694
2025-09-23,240784
2025-09-24,240794
2025-09-25,240694
2025-09-26,241233
2025-09-27,241133
2025-09-28,241193
2025-09-29,241365
2025-09-30,241749
2025-10-01,241857
2025-10-02,242127
2025-10-03,241948
2025-10-04,242459
2025-10-05,242462
2025-10-06,242601
2025-10-07,242624
2025-10-08,242832
2025-10-09,242921
2025-10-10,242825
2025-10-11,243172
2025-10-12,243399
2025-10-13,243872
2025-10-14,243762
2025-10-15,243816
2025-10-16,244211
2025-10-17,244074
2025-10-18,244484
2025-10-19,244324
2025-10-20,244917
2025-10-21,244976
2025-10-22,245433
2025-10-23,245608
2025-10-24,245468
2025-10-25,245899
2025-10-26,245760
2025-10-27,245956
2025-10-28,246255
2025-10-29,246388
